date_time,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19
2003/1/1,86,35,45,37,10,900,436,264,62,439,150,31,547,198,0,59,158,188,14,4
2003/2/1,3,15,43,126,0,34,11,9,10,223,33,0,767,50,1,137,62,35,47,11
2003/3/1,15,19,58,81,0,27,16,3,13,274,15,1,1.131,62,0,86,64,9,29,28
2003/4/1,22,64,120,215,1,14,79,3,10,376,20,2,268,48,0,106,11,7,87,22
2003/5/1,13,96,84,75,6,3,60,0,21,106,1,0,0,2,0,69,2,1,57,1
2003/6/1,88,329,68,245,0,64,338,2,74,140,0,0,0,0,11,132,3,2,321,19
2003/7/1,407,762,43,407,168,1.571,1.103,14,516,261,0,0,0,0,19,171,180,5,322,27
2003/8/1,864,1.339,1.513,1.955,1.976,6.255,2.023,109,7.06,1.039,2,14,2,0,36,934,1.867,26,902,118
2003/9/1,3.399,4.637,1.339,7.091,3.942,8.447,5.878,384,6.89,8.847,8,88,6,3,17,977,1.401,510,1.662,252
2003/10/1,2.332,1.339,669,5.391,740,3.803,6.085,1.761,4.962,4.264,10,355,14,2,12,422,725,859,1.183,159
2003/11/1,1.248,146,347,399,15,6.195,4.929,3.327,526,533,17,750,27,2,0,155,169,560,168,49
2003/12/1,459,109,129,225,1,4.787,2.424,2.436,214,710,43,411,157,36,0,58,147,229,129,18
2004/1/1,42,40,37,22,0,579,241,143,30,158,9,38,355,16,0,37,123,29,10,1
2004/2/1,20,7,29,29,3,20,22,5,12,122,7,2,259,10,0,41,92,8,11,5
2004/3/1,27,23,73,81,0,22,18,1,20,115,16,0,276,36,0,73,6,6,36,3
2004/4/1,10,52,59,48,2,23,44,2,14,89,6,0,182,13,1,36,4,5,32,0
2004/5/1,80,350,2,79,7,44,145,3,9,124,3,0,2,5,9,60,0,2,157,0
2004/6/1,239,1.079,127,209,5,340,706,1,151,289,0,5,6,0,6,231,12,4,422,3
2004/7/1,564,1.389,94,625,42,4.436,1.366,16,1.233,310,0,2,2,0,37,342,177,13,778,4
2004/8/1,1.002,1.776,728,1.642,645,12.812,1.889,61,6.893,1.43,2,9,18,0,108,794,1.207,41,1.498,12
2004/9/1,2.662,5.308,755,4.339,1.978,9.471,4.673,144,13.05,6.433,5,67,9,0,100,809,911,192,2.965,47
2004/10/1,2.144,1.658,704,2.736,461,4.726,3.604,1.217,3.094,4.81,12,412,53,3,18,195,710,545,1.275,48
2004/11/1,1.798,424,279,914,10,9.842,6.398,2.9,452,1.736,28,949,135,41,0,144,209,465,291,42
2004/12/1,788,96,68,125,7,5.508,3.255,3.158,208,423,71,777,160,66,0,102,53,373,56,9
2005/1/1,94,66,46,28,12,1.768,450,384,99,303,83,109,106,80,0,26,44,221,27,4
2005/2/1,26,27,46,79,0,85,56,25,42,143,31,1,105,19,0,78,6,33,84,1
2005/3/1,13,13,92,107,3,21,9,5,17,158,35,0,244,28,0,73,12,45,36,3
2005/4/1,3,52,25,89,1,14,43,4,7,76,1,0,22,8,0,62,5,1,55,4
2005/5/1,22,236,21,134,2,37,74,1,38,120,0,0,1,0,2,212,8,1,164,5
2005/6/1,171,669,58,246,27,304,529,6,153,211,0,2,5,0,3,236,78,3,189,8
2005/7/1,445,1.082,90,467,368,4.364,1.152,14,798,269,0,0,2,0,24,284,676,1,363,9
2005/8/1,943,1.84,391,1.029,4.198,13.055,2.239,51,6.672,948,2,4,9,0,20,522,2.316,10,639,12
2005/9/1,3.136,5.319,116,2.047,4.253,9.032,6.292,185,13.972,4.066,7,97,72,2,23,231,2.812,154,1.341,8
2005/10/1,3.263,2.913,197,6.546,547,5.083,6.472,1.378,2.559,8.405,17,335,88,11,18,221,545,408,1.717,62
2005/11/1,1.599,271,384,422,14,4.968,4.769,2.483,465,1.595,25,685,135,23,2,163,261,452,144,0
2005/12/1,486,53,17,65,2,1.495,1.66,1.36,36,116,16,38,71,29,0,15,17,191,5,5
2006/1/1,133,91,41,109,4,403,221,211,16,225,29,6,70,36,0,76,20,148,85,13
2006/2/1,23,14,18,96,0,49,22,23,17,277,14,2,283,36,0,59,10,41,21,45
2006/3/1,18,11,48,69,0,10,14,3,15,199,37,0,385,41,0,106,20,18,29,14
2006/4/1,1,4,30,50,0,2,9,1,0,60,2,0,201,9,0,63,5,2,22,1
2006/5/1,0,35,33,62,8,0,5,0,7,43,0,0,0,0,3,88,4,1,33,0
2006/6/1,40,289,32,73,1,78,131,0,40,68,0,0,0,0,2,97,9,0,70,5
2006/7/1,150,430,74,336,33,615,512,1,314,229,0,0,0,0,10,245,123,1,169,11
2006/8/1,911,1.277,728,959,839,7.575,1.382,50,3.124,995,1,11,4,0,40,572,1.422,8,588,29
2006/9/1,1.618,2.979,530,2.78,2.37,8.372,2.907,237,9.92,3.006,4,112,40,0,20,694,2.218,147,1.463,87
2006/10/1,1.443,1.176,269,616,316,5.964,3.024,581,1.148,2.079,32,405,135,3,1,153,721,310,178,10
2006/11/1,740,108,45,59,18,2.883,2.004,1.012,253,239,12,207,26,5,0,43,59,385,91,0
2006/12/1,339,15,7,32,0,1.417,1.052,1.161,4,169,30,74,101,17,0,13,23,207,7,0
2007/1/1,123,34,9,91,0,467,428,304,33,373,33,0,194,56,0,14,37,156,28,0
2007/2/1,11,8,14,71,5,23,13,3,8,113,28,0,796,22,0,96,92,21,13,3
2007/3/1,31,99,23,155,2,6,52,2,20,141,7,0,665,2,1,152,6,4,49,9
2007/4/1,9,22,2,35,0,0,5,1,0,64,1,0,58,1,0,44,0,1,17,2
2007/5/1,52,250,2,124,1,9,73,0,4,161,0,0,0,0,4,69,0,0,94,1
2007/6/1,303,591,11,184,4,129,515,1,71,270,0,0,1,0,21,91,23,1,186,4
2007/7/1,919,982,12,446,29,476,1.205,11,187,811,0,0,3,0,25,94,116,3,399,13
2007/8/1,3.551,4.747,462,2.975,960,14.352,8.409,182,4.786,3.734,3,5,2,0,137,470,2.241,20,2.382,82
2007/9/1,4.078,6.829,617,5.088,2.08,14.59,8.524,241,6.832,7.438,2,61,9,0,73,495,1.36,164,3.745,63
2007/10/1,2.331,2.252,35,3.467,203,2.504,4.772,964,2.023,4.981,6,162,15,3,13,281,215,702,1.195,79
2007/11/1,939,147,26,1.305,7,2.89,2.297,1.443,53,2.126,15,198,112,7,0,50,90,359,79,112
2007/12/1,317,13,17,95,0,689,800,1.177,6,259,33,14,8,33,0,21,7,200,16,14
2008/1/1,61,28,25,85,0,131,121,166,4,314,55,2,245,100,0,34,16,170,23,12
2008/2/1,21,6,29,59,0,54,45,12,7,235,74,0,138,67,0,30,32,48,25,20
2008/3/1,4,4,14,61,0,4,4,2,2,135,31,1,422,43,2,72,10,32,20,5
2008/4/1,7,46,31,113,0,7,26,0,8,151,18,2,175,2,1,84,13,5,36,8
2008/5/1,12,81,15,50,0,0,26,0,1,56,0,0,8,0,6,40,1,0,41,2
2008/6/1,33,282,2,48,0,48,235,1,11,72,0,0,0,0,0,25,7,0,55,4
2008/7/1,97,441,46,194,41,971,502,3,138,271,0,0,0,0,12,126,108,0,193,5
2008/8/1,290,845,51,605,445,4.435,713,32,1.251,611,1,4,4,0,30,153,861,2,568,13
2008/9/1,1.472,2.39,233,2.552,1.666,6.294,2.761,177,3.726,4.837,9,83,17,0,54,486,998,92,1.255,78
2008/10/1,1.83,2.832,56,3.787,652,6.653,3.498,816,1.482,7.691,18,395,78,0,6,87,632,274,1.231,100
2008/11/1,594,104,16,892,4,2.403,2.331,1.753,78,3.175,37,266,39,17,4,20,39,363,90,3
2008/12/1,329,7,29,25,0,684,1.101,1.655,2,52,34,32,5,14,0,36,0,203,6,1
2009/1/1,79,43,21,74,0,241,240,347,17,177,104,4,45,60,1,12,9,256,30,4
2009/2/1,19,21,7,74,2,15,20,8,1,117,32,0,153,64,0,65,3,28,29,12
2009/3/1,17,23,33,106,1,4,33,3,12,249,31,1,176,29,0,55,11,15,32,11
2009/4/1,8,5,57,26,0,8,14,0,3,40,5,0,115,19,0,67,1,3,11,8
2009/5/1,12,91,33,128,3,7,19,0,6,34,0,2,219,0,9,142,3,0,104,7
2009/6/1,56,421,14,173,0,38,279,0,13,92,0,1,16,2,4,125,13,1,179,12
2009/7/1,302,989,26,477,31,397,972,7,110,321,0,4,18,0,33,110,199,1,470,25
2009/8/1,790,1.124,759,685,194,3.859,1.766,26,484,439,0,20,29,0,37,289,1.321,10,647,17
2009/9/1,1.709,2.017,47,1.31,1.265,6.051,2.404,101,1.869,3.61,13,188,117,1,5,116,3.091,164,685,57
2009/10/1,913,718,252,1.013,565,6.342,1.861,435,1.444,2.552,30,765,197,1,3,64,2.189,254,367,13
2009/11/1,1.336,251,61,246,33,10.012,5,1.653,128,402,55,1.019,312,9,0,83,973,486,89,18
2009/12/1,570,46,20,108,1,2.832,1.768,1.987,9,308,55,123,290,21,0,37,102,351,39,32
2010/1/1,99,79,2,118,1,437,319,288,18,297,23,2,351,29,2,45,82,47,59,52
2010/2/1,54,32,15,155,0,102,93,63,9,206,26,0,470,33,4,152,81,33,86,15
2010/3/1,47,120,9,109,0,110,82,40,11,156,70,2,417,44,0,111,116,59,65,3
2010/4/1,56,419,19,112,3,22,128,7,19,103,3,2,15,1,8,91,11,2,105,7
2010/5/1,231,580,1,179,9,57,273,2,41,198,0,2,3,0,23,150,13,8,239,3
2010/6/1,208,767,1,139,1,94,494,3,44,192,0,0,0,0,21,143,9,1,278,3
2010/7/1,1.696,2.408,31,707,126,1.432,2.323,44,747,519,2,2,1,0,85,600,640,7,941,5
2010/8/1,4.035,7.865,511,3.353,1.682,18.13,6.353,202,4.388,2.423,1,1,3,0,159,1.809,3.727,29,2.914,39
2010/9/1,5.392,10.172,198,5.059,2.531,10.81,9.795,357,4.893,5.323,5,63,18,0,196,1.677,2.781,179,5.075,53
2010/10/1,3.863,2.272,76,2.048,292,3.843,3.228,502,1.307,5.264,16,265,64,1,6,260,889,347,1.227,32
2010/11/1,1.417,283,88,82,39,4.417,4.005,1.652,238,605,31,339,27,16,0,104,354,831,67,3
2010/12/1,357,72,23,105,0,1.612,1.803,578,158,226,45,43,73,19,1,52,123,117,48,10
2011/1/1,39,14,9,61,0,108,124,32,1,101,41,0,225,36,2,75,53,49,39,3
2011/2/1,11,13,1,111,0,13,9,2,2,156,33,3,112,31,1,73,30,25,45,42
2011/3/1,15,16,8,67,0,21,22,6,6,90,34,0,91,47,0,45,49,39,19,5
2011/4/1,16,106,5,66,2,10,37,1,8,149,17,0,108,12,1,52,5,22,71,3
2011/5/1,77,354,16,151,3,16,73,0,54,189,0,2,4,0,3,136,6,1,136,2
2011/6/1,462,717,26,304,10,105,602,5,130,345,2,0,6,1,18,210,22,4,314,7
2011/7/1,864,1.001,31,801,93,632,1.024,18,293,578,0,5,9,0,53,479,271,2,607,18
2011/8/1,1.958,1.668,175,2.742,425,2.195,2.138,53,1.161,1.795,4,16,39,1,61,1.067,1.243,27,1.613,93
